Position,Round,Festival Artist,Track,Spotify Artist,Spotify URL,Spotify URI
1,1,Snarky Puppy,Chimera,Snarky Puppy; Metropole Orkest; Jules Buckley,https://open.spotify.com/track/1GkCvRbowkhW7DwXhlSTGB,spotify:track:1GkCvRbowkhW7DwXhlSTGB
2,1,James Brandon Lewis,Omniscient,James Brandon Lewis Quartet; Aruan Ortiz; Brad Jones; Chad Taylor,https://open.spotify.com/track/4SDx1ARh7iBGGMrPn4QZEj,spotify:track:4SDx1ARh7iBGGMrPn4QZEj
3,1,The Roots,The Seed (2.0),The Roots; Cody Chesnutt,https://open.spotify.com/track/6HxweNytuEQdmGeVtZPZz3,spotify:track:6HxweNytuEQdmGeVtZPZz3
4,1,Robert Glasper,September Sun,Tim Franks Trio,https://open.spotify.com/track/1ovzAOYjT4iYzsTTqBfSLb,spotify:track:1ovzAOYjT4iYzsTTqBfSLb
5,1,Vincen García,At the Edge,Vincen García; Funky Times,https://open.spotify.com/track/28nMR0CyQL6FK1NHHsZY19,spotify:track:28nMR0CyQL6FK1NHHsZY19
6,1,Esperanza Spalding,I Know You Know,Esperanza Spalding,https://open.spotify.com/track/3afeZ81GDy59tATovKyH6Z,spotify:track:3afeZ81GDy59tATovKyH6Z
7,1,RH Factor,"I'll Stay - Live at Jazz A Vienne, 2009",Roy Hargrove; The RH Factor,https://open.spotify.com/track/5HcyvebAeECfTEmvRWcpei,spotify:track:5HcyvebAeECfTEmvRWcpei
8,1,Gallowstreet,Hydrogen,Gallowstreet,https://open.spotify.com/track/2p9gbV001bSHS6sU4WrxRX,spotify:track:2p9gbV001bSHS6sU4WrxRX
9,1,Joshua Redman,Headin' Home,Joshua Redman Quartet,https://open.spotify.com/track/5TMqj7KNg6Nr1REJUbmIyn,spotify:track:5TMqj7KNg6Nr1REJUbmIyn
10,1,Questlove / Glasper / McBride,Let It Ride,Robert Glasper; Norah Jones,https://open.spotify.com/track/6KNPqZXKGq4gpa4jU3RKjn,spotify:track:6KNPqZXKGq4gpa4jU3RKjn
11,2,Snarky Puppy,It Stays With You,Snarky Puppy; Metropole Orkest; Jules Buckley,https://open.spotify.com/track/3XckH9nZTF2Y2gp6UoMotk,spotify:track:3XckH9nZTF2Y2gp6UoMotk
12,2,James Brandon Lewis,Testify,James Brandon Lewis Quartet; Aruan Ortiz; Brad Jones; Chad Taylor,https://open.spotify.com/track/5lOVl9XXzc1MtrQGkL0Na2,spotify:track:5lOVl9XXzc1MtrQGkL0Na2
13,2,The Roots,Don't Say Nuthin',The Roots,https://open.spotify.com/track/1f6CFsufAwVPHrcNdlACRQ,spotify:track:1f6CFsufAwVPHrcNdlACRQ
14,2,Robert Glasper,Sa colère,Sylvie Nys; Calóh,https://open.spotify.com/track/2facChSR9OvqzNmQSjAhjP,spotify:track:2facChSR9OvqzNmQSjAhjP
15,2,Vincen García,Aprieta,Vincen García,https://open.spotify.com/track/7EKKbhTPNLhTFzpXJlLhhd,spotify:track:7EKKbhTPNLhTFzpXJlLhhd
16,2,Esperanza Spalding,Espera,Esperanza Spalding,https://open.spotify.com/track/7qEKZP3nOqWpEQlANPccOx,spotify:track:7qEKZP3nOqWpEQlANPccOx
17,2,RH Factor,Hardgroove,The RH Factor,https://open.spotify.com/track/7gAYsrRT8UpdSPba5Z0yed,spotify:track:7gAYsrRT8UpdSPba5Z0yed
18,2,Gallowstreet,Asterix,Gallowstreet,https://open.spotify.com/track/1YrjyMTAUwzJ2wKUfcintU,spotify:track:1YrjyMTAUwzJ2wKUfcintU
19,2,Joshua Redman,Sweet Sorrow,Joshua Redman Quartet,https://open.spotify.com/track/0zkZ2DiZf6RAjDLdE0n6Os,spotify:track:0zkZ2DiZf6RAjDLdE0n6Os
20,2,Questlove / Glasper / McBride,Afro Blue - 9th Wonder's Blue Light Basement Remix,Robert Glasper; Erykah Badu; Phonte; 9th Wonder,https://open.spotify.com/track/1kKLWkqyZEnrOd5tBYYCUn,spotify:track:1kKLWkqyZEnrOd5tBYYCUn
21,3,Snarky Puppy,Waves Upon Waves,Snarky Puppy; Metropole Orkest; Jules Buckley,https://open.spotify.com/track/6C1gzKLL8ESwc3wYqSD6IV,spotify:track:6C1gzKLL8ESwc3wYqSD6IV
22,3,James Brandon Lewis,Omnipotent,James Brandon Lewis Quartet; Aruan Ortiz; Brad Jones; Chad Taylor,https://open.spotify.com/track/1csPoNAsekOQX8yY3pOxmY,spotify:track:1csPoNAsekOQX8yY3pOxmY
23,3,The Roots,The Crown - Part 1,Gary Byrd & The G.B. Experience,https://open.spotify.com/track/4xNo57NFQVWRu4o7OGz0k2,spotify:track:4xNo57NFQVWRu4o7OGz0k2
24,3,Robert Glasper,O Último Disco de Mac Miller,Marcello Gugu; Carol Moura; Pinotti,https://open.spotify.com/track/6hz4nIESdQPeRBNfkA0UyE,spotify:track:6hz4nIESdQPeRBNfkA0UyE
25,3,Vincen García,Expresso,Vincen García; Giacomo Turra; Miguel Lamas,https://open.spotify.com/track/4PXdkdh6OIOhMkm38CpMrc,spotify:track:4PXdkdh6OIOhMkm38CpMrc
26,3,Esperanza Spalding,Ponta De Areia,Esperanza Spalding,https://open.spotify.com/track/2m4AKjV0OBfSft7YYh8y5x,spotify:track:2m4AKjV0OBfSft7YYh8y5x
27,3,RH Factor,On The One,The RH Factor,https://open.spotify.com/track/1wQnK3wezlY2Wy4ltskEZ3,spotify:track:1wQnK3wezlY2Wy4ltskEZ3
28,3,Gallowstreet,Phoenix,Gallowstreet,https://open.spotify.com/track/7ei2wHTMYPHENqRsn4Qjqm,spotify:track:7ei2wHTMYPHENqRsn4Qjqm
29,3,Joshua Redman,Chill,Joshua Redman Quartet,https://open.spotify.com/track/32QBONl2by0oSvqUDcOIrs,spotify:track:32QBONl2by0oSvqUDcOIrs
30,3,Questlove / Glasper / McBride,Rainbow,Gretchen Parlato; Robert Glasper,https://open.spotify.com/track/528pHUtcTjp4D3UxouB4CE,spotify:track:528pHUtcTjp4D3UxouB4CE
31,4,Snarky Puppy,As You Are But Not As You Were,Snarky Puppy; Metropole Orkest; Jules Buckley,https://open.spotify.com/track/7FfhirD3ZzpNpBoRhe8729,spotify:track:7FfhirD3ZzpNpBoRhe8729
32,4,James Brandon Lewis,Fire in my Bones,James Brandon Lewis Quartet; Aruan Ortiz; Brad Jones; Chad Taylor,https://open.spotify.com/track/1aW517SLAke188QfNSJq2W,spotify:track:1aW517SLAke188QfNSJq2W
33,4,The Roots,Section,The Roots,https://open.spotify.com/track/3P1s6MEwVSt2uK86nHZ5an,spotify:track:3P1s6MEwVSt2uK86nHZ5an
34,4,Robert Glasper,Esto Se Pega,Los Conquistadores de la Salsa,https://open.spotify.com/track/2CMB14iUg70xTCAGnNnQuw,spotify:track:2CMB14iUg70xTCAGnNnQuw
